매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
1644.0,138.0,132.0,8.41,8.02,8.3,35.01,302.03,1309.81,924.0,30.23,12686.0,2.2,300.0,1.07,36.4,,,,
3630,-92,-3,-2.52,-0.08,-0.10,25.07,216.31,3081.77,-16,-675.68,16555,0.64,-,-,-,,,,
6714.0,2.0,-102.0,0.03,-1.52,-5.79,137.12,84.33,2012.06,-696.0,-51.99,11554.0,3.13,70.0,0.19,-9.99,,,,
7318.0,95.0,-955.0,1.3,-13.05,-20.48,75.43,67.62,4418.87,-5665.0,-3.0,25614.0,0.66,70.0,0.41,-1.19,,,,
709,10,-1,1.36,-0.18,-0.27,91.16,33.25,88.14,-25,-621.51,9238,1.66,-,-,-,,,,
7206.0,862.0,793.0,11.96,11.01,10.03,45.22,70.7,3640.1,8988.0,11.24,93600.0,1.08,1300.0,1.29,14.46,,,,
9102,-488,-567,-5.37,-6.22,-24.74,267.37,114.77,562.81,-1636,-8.12,5615,2.37,-,-,-,,,,
4462.0,190.0,82.0,4.26,1.84,3.75,115.05,73.33,1181.5,238.0,11.56,6429.0,0.43,45.0,1.64,18.86,,,,
,,,,,,,,,,,,,,,,"1,788  억원",40400000,,
34841.0,1256.0,336.0,3.6,0.96,8.04,384.68,63.6,263.72,1411.0,6.87,17869.0,0.54,350.0,3.61,24.7,,,,
2388,30,10,1.28,0.44,1.22,70.20,168.67,179.54,16,80.07,1159,1.08,-,-,-,,,,
267,7,23,2.63,8.50,,100.17,271.78,179.75,166,24.32,1213,3.33,-,-,-,,,,
4709.0,-153.0,-232.0,-3.26,-4.93,-28.17,472.77,44.11,271.64,-579.0,-2.46,1695.0,0.84,5.0,0.35,-0.93,,,,
1720,-3,-57,-0.16,-3.31,-5.33,144.35,105.94,2781.66,-285,-34.55,5214,1.89,-,-,-,,,,
8166.0,380.0,307.0,4.65,3.77,4.73,41.06,47.68,2064.64,448.0,82.38,9595.0,3.85,189.0,0.51,41.26,,,,
16984.0,558.0,427.0,3.28,2.51,7.32,96.09,83.34,3113.32,1815.0,34.26,33659.0,1.85,1200.0,1.93,49.52,,,,
4607.0,95.0,59.0,2.07,1.28,11.43,254.38,106.61,718.78,215.0,7.14,1713.0,0.9,40.0,2.61,18.6,,,,
1730,-73,-109,-4.23,-6.29,-6.98,114.26,56.67,1246.99,-478,-4.24,7359,0.28,-,-,-,,,,
16518.0,836.0,492.0,5.06,2.98,1.38,89.39,83.05,6579.56,431.0,19.1,31212.0,0.26,430.0,5.23,99.83,,,,
1814.0,109.0,74.0,5.98,4.07,9.05,100.09,103.7,188.25,124.0,24.75,1440.0,2.12,20.0,0.65,16.18,,,,
249785.0,494.0,587.0,0.2,0.24,0.51,913.7,,243.51,116.0,19.98,16883.0,0.14,30.0,1.3,22.45,,,,
