,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),ROE(%),주당배당금
105560,556802.0,46343.0,35156.0,8.32,6.31,8.56,1307.11,,2030.46,8341.0,5.2,109191.0,0.4,1770.0,4.08,19.88,,
092220,2010,-23,-449,-1.16,-22.31,-24.43,118.25,160.69,77.23,-388,-7.56,1394,2.11,-,-,-,,
000040,1178,12,-115,1.03,-9.75,-29.64,212.72,53.41,-35.01,-107,-10.58,396,2.86,-,-,-,,
058850,9317.0,179.0,113.0,1.92,1.21,6.64,126.76,150.19,610.0,251.0,8.84,4037.0,0.55,80.0,3.61,30.34,,
229640,5796.0,161.0,83.0,2.77,1.43,5.35,179.77,68.84,850.52,239.0,32.53,4410.0,1.76,200.0,2.57,82.53,,
011790,24659.0,2020.0,736.0,8.19,2.99,2.21,182.3,52.15,898.5,989.0,95.07,50573.0,1.86,1000.0,1.06,96.28,,
210980,6998.0,1398.0,661.0,19.98,9.45,14.88,222.2,36.42,2086.72,2972.0,14.52,21679.0,1.99,600.0,1.39,25.35,,
064960,9407.0,894.0,544.0,9.5,5.79,7.27,43.67,190.22,951.59,3723.0,13.27,55310.0,0.89,1600.0,3.24,40.42,,
035250,4786,-4316,-2759,-90.18,-57.65,-7.92,12.15,324.65,3098.20,-1289,-18.23,16016,1.47,-,-,-,,
009450,8734.0,671.0,416.0,7.68,4.77,12.83,111.02,51.31,2713.1,3232.0,16.12,25811.0,2.02,350.0,0.67,11.34,,
030610,17665.0,1366.0,1039.0,7.73,5.88,9.35,700.36,,292.64,2043.0,3.74,19876.0,0.38,450.0,5.89,20.7,,
014280,5019.0,-15.0,23.0,-0.29,0.46,-0.55,120.56,56.52,983.2,-58.0,-92.22,11115.0,0.48,40.0,0.74,-66.17,,
002990,18296.0,812.0,264.0,4.44,1.44,6.89,252.88,73.97,137.84,719.0,12.63,10882.0,0.83,500.0,5.51,67.92,,
001210,450,-64,-243,-14.27,-54.09,-100.97,1498.44,32.14,779.50,-2170,-1.50,1476,2.20,,,-,,
024110,185746.0,21255.0,15479.0,11.44,8.33,6.44,1338.27,,501.03,2005.0,4.41,33494.0,0.26,471.0,5.33,24.28,,
006280,15041.0,503.0,893.0,3.34,5.93,7.48,69.49,113.97,1872.74,6935.0,58.54,98003.0,4.14,1500.0,0.37,21.12,,
030210,5311.0,665.0,760.0,12.52,14.3,13.04,639.19,,67.55,1103.0,2.89,9250.0,0.34,150.0,4.7,35.2,,
006370,911.0,-176.0,-178.0,-19.27,-19.54,-6.63,93.89,16.42,404.83,-1645.0,-5.56,31510.0,0.29,100.0,1.09,-4.68,,
117580,7432.0,263.0,141.0,3.54,1.9,4.55,123.31,65.52,1049.38,514.0,10.37,11433.0,0.47,250.0,4.69,48.65,,
003220,3085.0,241.0,172.0,7.81,5.58,8.42,57.55,95.45,2072.23,808.0,22.32,10080.0,1.79,148.0,0.82,17.8,,
001070,1752,36,26,2.03,1.51,2.04,56.85,111.79,2468.35,506,79.01,37951,1.05,-,-,-,,
005880,8841,1459,275,16.51,3.11,1.10,292.07,62.79,365.06,34,84.53,3042,0.93,,,-,,
024900,12920,-5,-90,-0.04,-0.70,-12.70,819.81,71.18,36.44,-180,-9.48,1371,1.25,-,-,-,,
170900,5867.0,340.0,271.0,5.79,4.62,4.21,52.73,167.41,1089.26,3210.0,27.6,76092.0,1.16,1000.0,1.13,31.13,,
028100,3146.0,32.0,20.0,1.03,0.65,1.06,74.82,174.78,3338.71,178.0,88.29,16951.0,0.93,75.0,0.48,41.45,,
082640,69490.0,1664.0,1201.0,2.39,1.73,4.23,1080.92,,288.04,744.0,4.73,19697.0,0.18,220.0,6.25,28.56,,
049770,31703.0,1163.0,779.0,3.67,2.46,10.91,125.44,73.5,3924.8,20194.0,8.86,193553.0,0.92,3500.0,1.96,17.33,,
018500,3695,-12,-281,-0.32,-7.61,-55.39,1366.18,30.95,36.60,-601,-1.98,684,1.74,,,-,,
003160,1623.0,55.0,57.0,3.4,3.54,4.13,65.45,103.97,745.59,173.0,27.59,5013.0,0.95,100.0,2.09,47.51,,
004000,12636.0,1392.0,1988.0,11.02,15.73,12.65,13.63,126.15,1201.68,7705.0,7.16,64770.0,0.85,1500.0,2.72,19.22,,
033920,1394.0,20.0,132.0,1.46,9.51,2.55,14.1,99.86,9399.62,465.0,15.44,19302.0,0.37,150.0,2.09,30.78,,
002760,383.0,1.0,4.0,0.38,1.03,0.9,22.97,176.44,267.95,7.0,372.75,735.0,3.34,4.0,0.16,60.73,,
005180,9591.0,398.0,349.0,4.15,3.64,6.01,29.62,213.77,1138.37,3540.0,16.13,66675.0,0.86,1600.0,2.8,40.56,,
003960,17181.0,494.0,362.0,2.88,2.1,10.02,148.91,46.56,768.15,3691.0,4.42,48630.0,0.34,200.0,1.23,4.35,,
001470,3794,-78,-211,-2.07,-5.57,-8.73,169.92,97.11,53.97,-127,-36.04,1397,3.28,-,-,-,,
000390,5517.0,150.0,65.0,2.72,1.18,2.29,103.31,103.3,2323.36,248.0,56.93,12628.0,1.12,150.0,1.06,52.81,,
021050,1947,78,-57,4.00,-2.90,-5.38,114.03,42.90,196.76,-115,-24.06,2118,1.31,-,-,-,,
004360,8422.0,164.0,326.0,1.95,3.87,3.89,36.46,106.1,7072.24,1415.0,8.24,37756.0,0.31,190.0,1.63,13.21,,
058650,42574.0,131.0,-2615.0,0.31,-6.14,-8.48,86.47,91.14,9261.96,-40506.0,-1.89,466917.0,0.16,2250.0,2.94,-5.53,,
013000,275,18,-3,6.62,-0.95,-0.60,9.57,878.29,199.60,-9,-330.82,1497,2.00,-,-,-,,
021820,1425.0,2.0,246.0,0.11,17.26,5.76,12.84,520.46,8645.86,2478.0,3.27,44548.0,0.18,25.0,0.31,1.01,,
067830,1347.0,146.0,99.0,10.84,7.36,2.2,23.74,113.23,985.37,241.0,12.2,11971.0,0.25,30.0,1.02,11.43,,
336370,2902.0,304.0,-110.0,10.47,-3.8,-5.1,71.72,228.62,7285.56,-269.0,-177.85,7108.0,6.72,10.0,0.02,-3.68,,
017550,1378.0,70.0,40.0,5.08,2.93,3.95,128.09,51.5,304.05,75.0,40.84,2015.0,1.51,10.0,0.33,12.76,,
006880,2059.0,52.0,28.0,2.5,1.35,3.04,85.31,42.08,1557.29,231.0,17.68,8029.0,0.51,100.0,2.45,40.96,,
002700,1724.0,62.0,80.0,3.62,4.65,11.08,46.95,126.11,117.64,113.0,16.62,1077.0,1.74,20.0,1.07,17.44,,
015540,71,-62,-197,-87.49,-277.47,-1165.40,2023.08,88.28,-48.56,-1842,-4.66,61,140.30,-,-,-,,
090430,44322.0,1430.0,219.0,3.23,0.49,0.78,27.72,128.87,13246.89,509.0,404.68,65223.0,3.16,800.0,0.39,156.13,,
122900,28394.0,405.0,288.0,1.43,1.01,5.87,166.43,125.27,2155.64,599.0,14.59,11485.0,0.76,600.0,6.86,88.38,,
003560,810,-162,-182,-20.02,-22.52,-14.32,23.31,267.53,66.65,-125,-12.91,823,1.96,-,-,-,,
010580,707,-40,-111,-5.63,-15.63,-76.57,568.59,20.98,-70.83,-916,-1.67,789,1.94,-,-,-,,
007460,1271,40,-327,3.12,-25.69,-15.80,20.91,324.67,286.68,-274,-7.46,1744,1.17,,,-,,
036570,24162.0,8248.0,5866.0,34.14,24.28,20.83,29.78,219.94,29973.39,26756.0,34.8,152449.0,6.11,8550.0,0.92,30.0,,
014440,1074.0,44.0,27.0,4.11,2.48,1.94,18.44,220.74,1369.86,142.0,26.07,7565.0,0.49,75.0,2.02,51.46,,
446070,,,,,,,,,,,,,,,,,,
047400,935.0,1.0,-14.0,0.1,-1.47,-1.59,121.77,83.41,296.58,-32.0,-121.8,1980.0,1.97,20.0,0.51,-62.46,,
005950,13133.0,-368.0,-1431.0,-2.8,-10.9,-29.51,239.05,81.2,87.12,-4076.0,-3.24,10621.0,1.24,300.0,2.27,-8.98,,
015020,59,3,-1,5.86,-0.97,-0.12,44.78,21.14,135.45,-1,-505.38,1256,0.54,-,-,-,,
014990,1528,-200,-217,-13.10,-14.19,-41.73,236.60,31.36,44.62,-368,-4.07,699,2.14,-,-,-,,
034590,5045.0,108.0,114.0,2.14,2.26,6.05,77.5,241.28,801.02,2603.0,9.61,46500.0,0.54,1250.0,5.0,45.26,,
000230,5965.0,-92.0,-313.0,-1.54,-5.24,-14.74,165.37,56.45,944.98,-1662.0,-8.33,10867.0,1.27,100.0,0.72,-5.89,,
002600,2226.0,118.0,75.0,5.29,3.38,5.72,86.38,70.76,4341.02,12528.0,13.97,222051.0,0.79,6000.0,3.43,47.89,,
323410,8042,1226,1136,15.24,14.13,5.08,852.82,,37.22,309,,6861,-,,,-,,
007810,9021,134,-118,1.49,-1.31,3.39,62.75,123.67,2428.98,423,35.25,12532,1.19,-,-,-,,
005420,3555,50,-156,1.41,-4.39,-19.42,167.40,56.26,-25.14,-796,-13.40,4111,2.60,,,-,,
071950,982,-21,-17,-2.14,-1.77,-6.81,205.31,28.63,54.68,-54,-20.33,771,1.42,-,-,-,,
002020,48902.0,2714.0,1525.0,5.55,3.12,22.33,358.29,50.39,982.67,10013.0,2.18,49143.0,0.44,500.0,2.29,5.03,,
138490,2952,39,30,1.31,1.01,1.51,60.36,79.57,421.65,79,57.00,5217,0.86,-,-,-,,
015590,1249,96,13,7.67,1.07,1.33,84.14,117.59,-6.07,6,107.18,473,1.36,,,-,,
259960,16704,7739,5563,46.33,33.30,61.86,41.60,314.86,24347.29,13710,,28377,-,,,-,,
003240,17406.0,535.0,1558.0,3.08,8.95,4.69,20.03,172.19,61792.93,137666.0,5.82,3984590.0,0.2,1550.0,0.19,0.85,,
009410,22815.0,2509.0,5325.0,11.0,23.34,61.96,487.23,64.4,8250.27,8432.0,1.4,15978.0,0.74,325.0,2.75,2.35,,
084870,1731,-69,-308,-4.00,-17.79,-33.15,78.53,47.15,612.91,-1476,-1.19,3744,0.47,-,-,-,,
003670,15662.0,603.0,297.0,3.85,1.9,2.96,103.99,196.39,3192.15,461.0,225.74,15589.0,6.67,285.0,0.27,61.87,,
000080,22563.0,1985.0,866.0,8.8,3.84,8.23,206.98,49.48,214.28,1216.0,26.18,15388.0,2.07,750.0,2.35,60.43,,
071050,165117.0,8564.0,8600.0,5.19,5.21,16.27,1150.6,,1745.43,14021.0,5.63,96097.0,0.82,3000.0,3.8,20.33,,
006200,2215,-2,-348,-0.09,-15.71,-5.36,98.67,147.67,270.02,-120,-7.84,2315,0.40,-,-,-,,
009540,149037,744,-8352,0.50,-5.60,-7.42,103.23,71.38,5035.69,-11781,-9.21,154230,0.70,-,-,-,,
023350,2882.0,46.0,65.0,1.59,2.25,5.12,141.52,63.49,2092.26,591.0,8.33,13217.0,0.37,100.0,2.03,16.08,,
161390,64531.0,6283.0,3852.0,9.74,5.97,5.12,43.8,150.53,12331.94,3006.0,13.11,60477.0,0.65,650.0,1.65,21.3,,
010100,8816.0,138.0,114.0,1.56,1.3,5.24,181.9,76.54,626.26,379.0,9.67,7395.0,0.5,50.0,1.36,13.18,,
128940,10759.0,490.0,173.0,4.55,1.61,1.65,126.24,57.32,2525.97,971.0,370.3,59651.0,6.03,481.0,0.13,49.18,,
018880,68728.0,3158.0,1135.0,4.59,1.65,5.09,248.63,103.8,4208.38,207.0,78.59,3968.0,4.1,320.0,1.97,154.74,,
009420,886,59,198,6.70,22.31,12.29,21.44,92.13,498.00,378,99.12,3542,10.59,-,-,-,,
000880,509265.0,15490.0,7075.0,3.04,1.39,4.61,979.02,63.47,789.51,2009.0,14.09,44629.0,0.63,700.0,2.47,33.27,,
