Image File,Y Channel Value
HackSpace42.00066.01,108.3813591003418
HackSpace42.00088.02,235.99666213989258
HackSpace42.00090.02,220.8952178955078
HackSpace42.00116.02,104.37431335449219
HackSpace43.00014.01,223.9720458984375
HackSpace43.00023.01,139.40447235107422
HackSpace43.00023.02,240.5586814880371
HackSpace43.00029.02,193.2524185180664
HackSpace43.00035.01,202.74824905395508
HackSpace43.00047.01,134.8702621459961
HackSpace43.00047.02,123.23554229736328
HackSpace43.00057.02,147.5056915283203
HackSpace43.00059.02,191.3804473876953
HackSpace43.00064.01,167.76368713378906
HackSpace43.00065.02,190.56109237670898
HackSpace43.00071.02,224.78511428833008
HackSpace43.00102.01,110.07575225830078
HackSpace43.00109.01,172.74035263061523
HackSpace43.00110.02,199.66898727416992
HackSpace44.00011.02,77.96349334716797
HackSpace44.00023.01,151.94544219970703
HackSpace44.00023.02,99.47361373901367
HackSpace44.00024.02,177.00724411010742
HackSpace44.00064.01,195.2561264038086
HackSpace44.00078.01,231.14678955078125
HackSpace44.00101.01,236.78147888183594
HackSpace44.00109.01,168.44300079345703
HackSpace44.00114.01,120.19639587402344
HackSpace45.00044.02,158.4081039428711
HackSpace46.00056.02,106.06996154785156
HackSpace46.00075.02,227.4961051940918
HackSpace46.00078.02,239.0326805114746
HackSpace46.00104.02,131.75785064697266
HackSpace46.00107.01,157.44401168823242
HackSpace47.00006.01,146.56200408935547
HackSpace47.00024.02,97.74806594848633
HackSpace47.00074.01,232.44345474243164
HackSpace47.00097.02,234.17338943481445
HackSpace47.00110.01,231.7282257080078
HackSpace50.00001.01,123.45066833496094
HackSpace50.00001.02,91.09292221069336
HackSpace50.00018.02,209.66448974609375
HackSpace50.00070.02,96.69049072265625
HackSpace50.00085.01,231.29029846191406
HackSpace50.00099.02,239.61630249023438
HackSpace50.00113.02,190.15939331054688
HackSpace51.00018.01,232.82183837890625
HackSpace51.00027.01,181.19448471069336
HackSpace51.00054.01,215.03218460083008
HackSpace51.00072.02,201.95600128173828
HackSpace51.00102.02,180.32798767089844
MagPi046.00093.02,175.09454727172852
MagPi047.00011.02,143.50416564941406
MagPi047.00020.02,73.8775520324707
MagPi047.00027.01,107.09659576416016
MagPi047.00048.02,233.03664016723633
MagPi047.00054.01,199.55900192260742
MagPi047.00063.02,215.18186950683594
MagPi048.00004.01,149.94255828857422
MagPi048.00012.01,195.1137351989746
MagPi048.00013.01,208.30633926391602
MagPi048.00037.01,145.12422561645508
MagPi048.00047.01,227.13628387451172
MagPi048.00090.02,177.2067756652832
MagPi048.00096.02,237.08510971069336
MagPi049.00091.02,164.27764129638672
MagPi050.00034.01,96.50169372558594
MagPi050.00055.02,239.42927932739258
MagPi050.00058.02,243.01552200317383
MagPi050.00084.01,192.73878860473633
MagPi050.00099.02,240.38614654541016
MagPi051.00016.01,97.89871597290039
MagPi051.00040.02,205.1403694152832
MagPi051.00057.02,241.99854278564453
MagPi051.00067.02,55.86200714111328
MagPi051.00078.01,220.06867599487305
MagPi051.00079.02,190.67998504638672
MagPi051.00086.01,176.15813064575195
MagPi052.00002.01,163.17252349853516
MagPi052.00004.02,141.71128463745117
MagPi052.00058.02,220.91559982299805
MagPi052.00066.02,97.30065155029297
MagPi056.00035.01,80.30704879760742
MagPi056.00048.02,179.02059173583984
MagPi056.00074.01,212.11363220214844
MagPi056.00075.01,183.1524658203125
MagPi056.00088.02,157.39347076416016
MagPi056.00094.02,201.10761642456055
MagPi057.00043.01,176.32626342773438
MagPi057.00052.01,195.29669570922852
MagPi057.00057.02,199.8354148864746
